algoritmo,n,tiempo (ms),llamadas,backtracks
backtracking,8,1.0970625,114.0,105.0
backtracking,10,1.570875,103.0,92.0
forward_checking,8,0.386,54.0,80.0
forward_checking_MRV,8,0.4069375,53.0,67.0
backtracking,12,6.6654374999999995,262.0,249.0
forward_checking,10,0.41031249999999997,54.0,73.0
forward_checking_MRV,10,0.25506249999999997,27.0,25.0
forward_checking,12,0.9544375,112.0,181.0
forward_checking_MRV,12,1.072375,108.0,142.0
forward_checking_MRV,14,1.011375,91.0,109.0
forward_checking_MRV,16,0.40725,38.0,28.0
forward_checking,14,12.76025,876.0,1470.0
forward_checking_MRV,18,0.6345,43.0,35.0
forward_checking_MRV,20,1.4532500000000002,115.0,127.0
backtracking,14,106.866125,1900.0,1885.0
forward_checking,16,91.290875,4379.0,7544.0
forward_checking,18,378.1383125,17626.0,30283.0
backtracking,16,1024.9041875,10053.0,10036.0
forward_checking,20,1918.8405,84401.0,145131.0
backtracking,18,3410.4638750000004,41300.0,41281.0
backtracking,20,17273.2605,199636.0,199615.0
backtracking,8,1.0970625,114.0,105.0
backtracking,10,1.570875,103.0,92.0
forward_checking,8,0.386,54.0,80.0
forward_checking_MRV,8,0.4069375,53.0,67.0
backtracking,12,6.6654374999999995,262.0,249.0
forward_checking,10,0.41031249999999997,54.0,73.0
forward_checking_MRV,10,0.25506249999999997,27.0,25.0
forward_checking,12,0.9544375,112.0,181.0
forward_checking_MRV,12,1.072375,108.0,142.0
forward_checking_MRV,14,1.011375,91.0,109.0
forward_checking_MRV,16,0.40725,38.0,28.0
forward_checking,14,12.76025,876.0,1470.0
forward_checking_MRV,18,0.6345,43.0,35.0
forward_checking_MRV,20,1.4532500000000002,115.0,127.0
backtracking,14,106.866125,1900.0,1885.0
forward_checking,16,91.290875,4379.0,7544.0
forward_checking,18,378.1383125,17626.0,30283.0
backtracking,16,1024.9041875,10053.0,10036.0
forward_checking,20,1918.8405,84401.0,145131.0
backtracking,18,3410.4638750000004,41300.0,41281.0
backtracking,20,17273.2605,199636.0,199615.0
backtracking,8,1.0970625,114.0,105.0
backtracking,10,1.570875,103.0,92.0
forward_checking,8,0.386,54.0,80.0
forward_checking_MRV,8,0.4069375,53.0,67.0
backtracking,12,6.6654374999999995,262.0,249.0
forward_checking,10,0.41031249999999997,54.0,73.0
forward_checking_MRV,10,0.25506249999999997,27.0,25.0
forward_checking,12,0.9544375,112.0,181.0
forward_checking_MRV,12,1.072375,108.0,142.0
forward_checking_MRV,14,1.011375,91.0,109.0
forward_checking_MRV,16,0.40725,38.0,28.0
forward_checking,14,12.76025,876.0,1470.0
forward_checking_MRV,18,0.6345,43.0,35.0
forward_checking_MRV,20,1.4532500000000002,115.0,127.0
backtracking,14,106.866125,1900.0,1885.0
forward_checking,16,91.290875,4379.0,7544.0
forward_checking,18,378.1383125,17626.0,30283.0
backtracking,16,1024.9041875,10053.0,10036.0
forward_checking,20,1918.8405,84401.0,145131.0
backtracking,18,3410.4638750000004,41300.0,41281.0
backtracking,20,17273.2605,199636.0,199615.0
