size,seed,max_time,w_start,w_end,w_step,manhattan,length,openings,found,solutions,name
"(1000, 1000)",7,0.2,,,0.25,True,inf,0,False,[],Greedy Best First
"(1000, 1000)",7,0.2,2.5,1.0,0.25,True,inf,0,False,[],AW-A*
"(1000, 1000)",7,0.2,1.0,1.0,0.25,True,inf,0,False,[],A*
"(1000, 1000)",7,0.2,,,0.25,False,inf,0,False,[],Greedy Best First
"(1000, 1000)",7,0.2,2.5,1.0,0.25,False,inf,0,False,[],AW-A*
"(1000, 1000)",7,0.2,1.0,1.0,0.25,False,inf,0,False,[],A*
"(1000, 1000)",7,0.2,,,0.5,True,inf,0,False,[],Greedy Best First
"(1000, 1000)",7,0.2,2.5,1.0,0.5,True,inf,0,False,[],AW-A*
"(1000, 1000)",7,0.2,1.0,1.0,0.5,True,inf,0,False,[],A*
"(1000, 1000)",7,0.2,,,0.5,False,inf,0,False,[],Greedy Best First
"(1000, 1000)",7,0.2,2.5,1.0,0.5,False,inf,0,False,[],AW-A*
"(1000, 1000)",7,0.2,1.0,1.0,0.5,False,inf,0,False,[],A*
"(1000, 1000)",7,1.0,,,0.25,True,inf,0,False,[],Greedy Best First
"(1000, 1000)",7,1.0,2.5,1.0,0.25,True,inf,0,False,[],AW-A*
"(1000, 1000)",7,1.0,1.0,1.0,0.25,True,inf,0,False,[],A*
"(1000, 1000)",7,1.0,,,0.25,False,inf,0,False,[],Greedy Best First
"(1000, 1000)",7,1.0,2.5,1.0,0.25,False,inf,0,False,[],AW-A*
"(1000, 1000)",7,1.0,1.0,1.0,0.25,False,inf,0,False,[],A*
"(1000, 1000)",7,1.0,,,0.5,True,inf,0,False,[],Greedy Best First
"(1000, 1000)",7,1.0,2.5,1.0,0.5,True,inf,0,False,[],AW-A*
"(1000, 1000)",7,1.0,1.0,1.0,0.5,True,inf,0,False,[],A*
"(1000, 1000)",7,1.0,,,0.5,False,inf,0,False,[],Greedy Best First
"(1000, 1000)",7,1.0,2.5,1.0,0.5,False,inf,0,False,[],AW-A*
"(1000, 1000)",7,1.0,1.0,1.0,0.5,False,inf,0,False,[],A*
"(1000, 1000)",7,3.0,,,0.25,True,inf,0,True,"[(1.2472095489501953, 52985), (2.5329864025115967, 52985)]",Greedy Best First
"(1000, 1000)",7,3.0,2.5,1.0,0.25,True,52985.0,0,True,"[(1.1902360916137695, 52985), (2.2946691513061523, 52985)]",AW-A*
"(1000, 1000)",7,3.0,1.0,1.0,0.25,True,52985.0,0,True,"[(1.2126169204711914, 52985)]",A*
