size,seed,max_time,w_start,w_end,w_step,manhattan,length,openings,found,solutions
"(1500, 1300)",7,0.2,2.0,1.0,0.25,True,inf,9750,False,[]
"(1500, 1300)",7,0.2,2.0,1.0,0.25,False,inf,9750,False,[]
"(1500, 1300)",7,0.2,2.0,1.0,0.5,True,inf,9750,False,[]
"(1500, 1300)",7,0.2,2.0,1.0,0.5,False,inf,9750,False,[]
"(1500, 1300)",7,1.0,2.0,1.0,0.25,True,inf,9750,False,[]
"(1500, 1300)",7,1.0,2.0,1.0,0.25,False,inf,9750,False,[]
"(1500, 1300)",7,1.0,2.0,1.0,0.5,True,inf,9750,False,[]
"(1500, 1300)",7,1.0,2.0,1.0,0.5,False,inf,9750,False,[]
"(1500, 1300)",7,3.0,2.0,1.0,0.25,True,inf,9750,False,[]
"(1500, 1300)",7,3.0,2.0,1.0,0.25,False,inf,9750,False,[]
"(1500, 1300)",7,3.0,2.0,1.0,0.5,True,inf,9750,False,[]
"(1500, 1300)",7,3.0,2.0,1.0,0.5,False,inf,9750,False,[]
"(1500, 1300)",7,30.0,2.0,1.0,0.25,True,12827.0,9750,True,"[(9.973370552062988, 12875), (20.176655054092407, 12827)]"
"(1500, 1300)",7,30.0,2.0,1.0,0.25,False,12827.0,9750,True,"[(10.497771501541138, 12875), (21.795779705047607, 12827)]"
"(1500, 1300)",7,30.0,2.0,1.0,0.5,True,12827.0,9750,True,"[(10.527199745178223, 12875), (21.30726647377014, 12827)]"
"(1500, 1300)",7,30.0,2.0,1.0,0.5,False,12827.0,9750,True,"[(10.05893063545227, 12875), (20.697893142700195, 12827)]"
"(1500, 1300)",7,60.0,2.0,1.0,0.25,True,12827.0,9750,True,"[(9.996324300765991, 12875), (20.279340267181396, 12827), (30.808956384658813, 12827), (41.398056507110596, 12827), (51.95016074180603, 12827)]"
"(1500, 1300)",7,60.0,2.0,1.0,0.25,False,12827.0,9750,True,"[(10.148541927337646, 12875), (20.760513067245483, 12827), (31.257275581359863, 12827), (41.91587042808533, 12827), (52.78462052345276, 12827)]"
"(1500, 1300)",7,60.0,2.0,1.0,0.5,True,12827.0,9750,True,"[(10.377785205841064, 12875), (21.078476428985596, 12827), (31.840827465057373, 12827)]"
"(1500, 1300)",7,60.0,2.0,1.0,0.5,False,12827.0,9750,True,"[(10.225390672683716, 12875), (20.83291482925415, 12827), (31.60864758491516, 12827)]"
"(1500, 1300)",7,120.0,2.0,1.0,0.25,True,12827.0,9750,True,"[(10.303256750106812, 12875), (20.73914933204651, 12827), (31.44343900680542, 12827), (42.033198595047, 12827), (52.68192934989929, 12827)]"
"(1500, 1300)",7,120.0,2.0,1.0,0.25,False,12827.0,9750,True,"[(10.130792379379272, 12875), (21.05921745300293, 12827), (31.67936658859253, 12827), (42.27977013587952, 12827), (52.85875964164734, 12827)]"
